id,title,epic,area,agent,priority,size,deps,status,sprint,paths,req,security
JOB-040,Génération de CV adapté contrainte au profil canonique,EPIC 5 — Documents,ai,ai-integration-engineer,P0,L,JOB-033;JOB-035,done,S4,packages/documents/**,REQ-007,yes
JOB-041,Vue de différence et refus modification par modification,EPIC 5 — Documents,frontend,frontend-engineer,P0,M,JOB-040,done,S4,packages/documents/**;apps/web/app/opportunites/**;supabase/migrations/**,REQ-007,yes
JOB-042,Mise au format de CV attendu par le marché visé,EPIC 5 — Documents,ai,ai-integration-engineer,P1,M,JOB-040,done,S4,packages/documents/**,REQ-007,yes
JOB-043,Export PDF fidèle et lisible par un ATS,EPIC 5 — Documents,backend,backend-engineer,P0,M,JOB-040,done,S4,packages/documents/**,REQ-007,yes
JOB-044,Génération de lettre dans la langue de l offre,EPIC 5 — Documents,ai,ai-integration-engineer,P0,M,JOB-040,done,S4,packages/documents/**,REQ-008,yes
JOB-045,Bibliothèque de réponses aux questions de screening,EPIC 5 — Documents,frontend,frontend-engineer,P0,M,JOB-030,done,S4,packages/profil/**;supabase/migrations/**,REQ-008,yes
JOB-046,Cadran d autonomie par canal et mandat horodaté,EPIC 6 — Automatisation,backend,backend-engineer,P0,M,JOB-030,done,S4,supabase/migrations/**;packages/profil/**,REQ-009,yes
JOB-047,Quotas journaliers et plages horaires dans le fuseau du candidat,EPIC 6 — Automatisation,backend,backend-engineer,P0,M,JOB-046,done,S4,packages/profil/**;supabase/migrations/**,REQ-009,yes
JOB-048,File d approbation utilisable au pouce et au clavier,EPIC 6 — Automatisation,frontend,frontend-engineer,P0,L,JOB-046;JOB-015,done,S4,apps/web/app/approbations/**;packages/profil/**;supabase/migrations/**,REQ-010,yes
JOB-049,Dossier pret a envoyer et envoi autonome par courriel,EPIC 6 — Automatisation,backend,backend-engineer,P0,L,JOB-002;JOB-044,backlog,S5,apps/worker/src/envoi/**,REQ-011,yes
JOB-050,Escalade sur champ inconnu ou anti-robot rencontre,EPIC 6 — Automatisation,backend,backend-engineer,P0,M,JOB-049,backlog,S5,apps/worker/src/envoi/**,REQ-011,yes
JOB-051,Idempotence d envoi et detection de doublon,EPIC 6 — Automatisation,backend,backend-engineer,P0,M,JOB-049,backlog,S5,apps/worker/src/envoi/**,REQ-011,yes
JOB-052,Défense contre l injection par le contenu d une offre,EPIC 6 — Automatisation,security,security-engineer,P0,M,JOB-044,done,S4,packages/llm-guard/**;tests/injection/**,REQ-011;REQ-016,yes
JOB-053,Arrêt d urgence global effectif sous cinq secondes,EPIC 6 — Automatisation,backend,backend-engineer,P0,M,JOB-047,done,S4,apps/web/app/arret/**;apps/web/components/**;supabase/migrations/**,REQ-012,yes
JOB-054,Table de reçus immuable en insertion seule,EPIC 7 — Traçabilité,data,database-architect,P0,M,JOB-005,done,S4,supabase/migrations/**,REQ-013,yes
JOB-055,Écriture d un reçu pour chaque action sortante,EPIC 7 — Traçabilité,backend,backend-engineer,P0,M,JOB-054;JOB-049,backlog,S5,apps/worker/src/receipts/**,REQ-013,yes
JOB-056,Consultation et export des reçus par leur propriétaire,EPIC 7 — Traçabilité,frontend,frontend-engineer,P0,S,JOB-055;JOB-016,backlog,S5,apps/web/app/recus/**,REQ-013,no
JOB-057,Journal d audit incluant les accès du support,EPIC 7 — Traçabilité,security,security-engineer,P0,M,JOB-005,done,S5,packages/audit/**;supabase/migrations/**,REQ-014,yes
JOB-058,Export de données en libre-service,EPIC 7 — Traçabilité,backend,backend-engineer,P0,M,JOB-057,done,S5,supabase/migrations/**;packages/profil/**,REQ-014,yes
JOB-059,Suppression dure avec annulation préalable de l automatisation,EPIC 7 — Traçabilité,backend,backend-engineer,P0,M,JOB-053;JOB-057,done,S5,supabase/migrations/**;packages/profil/**,REQ-014,yes
JOB-060,Pipeline de suivi des candidatures et transitions manuelles,EPIC 8 — Suivi,frontend,frontend-engineer,P0,L,JOB-055,backlog,S5,apps/web/app/suivi/**,REQ-015,no
JOB-061,Connexion à la boîte mail en lecture restreinte,EPIC 8 — Suivi,backend,backend-engineer,P0,L,JOB-030,backlog,S5,apps/worker/src/mailbox/**,REQ-015,yes
JOB-062,Rattachement des réponses reçues à la bonne candidature,EPIC 8 — Suivi,ai,ai-integration-engineer,P0,M,JOB-061;JOB-060,backlog,S6,apps/worker/src/mailbox/match.ts,REQ-015,yes
JOB-063,Poste de commande avec vue attention du jour,EPIC 8 — Suivi,frontend,frontend-engineer,P0,L,JOB-060;JOB-048,backlog,S6,apps/web/app/accueil/**,REQ-015,no
JOB-064,Notifications sobres limitées à trois événements,EPIC 8 — Suivi,backend,backend-engineer,P1,M,JOB-063,backlog,S6,apps/worker/src/notifications/**,REQ-015,no
JOB-065,Identification des contacts recruteurs avec niveau de certitude,EPIC 9 — Contact recruteur,ai,ai-integration-engineer,P0,L,JOB-035,backlog,S5,apps/worker/src/contacts/**,REQ-016,yes
JOB-066,Rédaction de l email de contact personnalisé,EPIC 9 — Contact recruteur,ai,ai-integration-engineer,P0,M,JOB-065;JOB-052,backlog,S6,apps/worker/src/contacts/compose.ts,REQ-016,yes
JOB-067,Envoi depuis la boîte du candidat message par message,EPIC 9 — Contact recruteur,backend,backend-engineer,P0,M,JOB-066;JOB-061,backlog,S6,apps/worker/src/contacts/send.ts,REQ-016,yes
JOB-068,Conservation bornée et opposition sur les données de recruteurs,EPIC 9 — Contact recruteur,security,security-engineer,P0,M,JOB-065;JOB-057,backlog,S6,supabase/migrations/**;packages/retention/**,REQ-016,yes
JOB-069,Brief entreprise et signaux de recrutement,EPIC 9 — Contact recruteur,ai,ai-integration-engineer,P1,M,JOB-039,backlog,S6,apps/worker/src/intel/**,REQ-016,no
JOB-070,Abonnement Stripe et paliers de quota,EPIC 10 — Facturation et lancement,payments,payments-engineer,P0,L,JOB-047,backlog,S6,apps/web/app/facturation/**;packages/billing/**,,yes
JOB-071,Webhook Stripe signé et idempotent,EPIC 10 — Facturation et lancement,payments,payments-engineer,P0,M,JOB-070,backlog,S6,apps/web/app/api/webhooks/stripe/**,,yes
JOB-072,Instrumentation du coût LLM par candidature,EPIC 10 — Facturation et lancement,devops,devops-engineer,P0,S,JOB-010,done,S3,packages/observability/**,,yes
JOB-073,Limitation de débit sur les routes abusables,EPIC 10 — Facturation et lancement,security,security-engineer,P0,M,JOB-006,backlog,S5,packages/ratelimit/**,,yes
JOB-074,Audit d accessibilité WCAG 2.1 AA sur les écrans de la boucle,EPIC 10 — Facturation et lancement,design,ui-ux-designer,P0,M,JOB-063,backlog,S6,apps/web/app/**;tests/a11y/**,,yes
JOB-075,Modèle de menaces STRIDE avant ouverture publique,EPIC 10 — Facturation et lancement,security,security-engineer,P0,M,JOB-059,backlog,S6,docs/security/**,,no
JOB-076,Mesure de couverture sur cinq profils contrastés,EPIC 2 — Moteur de veille,research,product-strategist,P0,M,JOB-029;JOB-024,done,S3,docs/research/couverture/**,REQ-003,no
JOB-077,Correction du score par le candidat,EPIC 11 — v1.1,ai,ai-integration-engineer,P2,M,JOB-048,backlog,Backlog,apps/worker/src/matching/feedback/**,REQ-006,yes
JOB-078,Séquences de relance autonomes vers les recruteurs,EPIC 11 — v1.1,backend,backend-engineer,P2,XL,JOB-067,backlog,Backlog,apps/worker/src/contacts/sequences/**,,yes
JOB-079,A/B des variantes de CV et analyse de l entonnoir,EPIC 11 — v1.1,ai,ai-integration-engineer,P2,L,JOB-060,backlog,Backlog,apps/worker/src/analytics/**,,no
JOB-080,Mode discrétion et masquage des employeurs,EPIC 8 — Suivi,frontend,frontend-engineer,P1,M,JOB-063;JOB-064,backlog,S6,packages/ui/discretion/**;apps/web/app/parametres/discretion/**,REQ-015,no
JOB-081,Parcours d entrée jusqu à la première offre trouvée en direct,EPIC 3 — Profil et CV,frontend,frontend-engineer,P0,L,JOB-032;JOB-035,done,S3,apps/web/app/entree/**;packages/profil/**;supabase/migrations/**,REQ-001;REQ-002,yes
JOB-082,Palier C plateformes assistées détection sans candidature,EPIC 2 — Moteur de veille,backend,backend-engineer,P1,M,JOB-019,done,S3,apps/worker/src/sources/assiste/**;apps/worker/src/matching/**,REQ-003,yes
JOB-083,Connecteur Workable verifie contre une reponse reelle,EPIC 2 — Moteur de veille,backend,backend-engineer,P1,S,JOB-021,done,S3,apps/worker/src/sources/ats/**,REQ-003,no
JOB-084,Harnais de bout en bout et verification G6 au pixel a 390 px,EPIC 1 — Système d interface,frontend,qa-test-engineer,P1,M,JOB-018,backlog,S5,tests/e2e/**,,no
JOB-085,Rejouer le lecteur JobPosting contre vingt pages carrieres reelles,EPIC 2 — Moteur de veille,backend,backend-engineer,P1,M,JOB-023,backlog,S5,apps/worker/src/sources/jsonld/**,REQ-003,no
JOB-086,Source de taux de change avec date de releve et politique de peremption,EPIC 4 — Correspondance,backend,backend-engineer,P1,M,JOB-038,backlog,S5,apps/worker/src/taux/**,REQ-004,no
JOB-087,Annoncer la couverture reelle et pas la couverture visee,EPIC 1 — Système d interface,frontend,ui-ux-designer,P0,S,JOB-076,done,S4,apps/web/app/entree/**;packages/couverture/**,REQ-003,yes
JOB-088,Decouverte d employeurs par secteur et par pays,EPIC 2 — Moteur de veille,backend,backend-engineer,P0,L,JOB-076;JOB-023,done,S4,apps/worker/src/sources/decouverte/**,REQ-003,no
JOB-089,Sources nationales et sectorielles hors distanciel tech,EPIC 2 — Moteur de veille,backend,backend-engineer,P0,L,JOB-076,done,S4,apps/worker/src/sources/nationales/**,REQ-003,no
JOB-090,Dire OU l agent a regarde quand il ne trouve rien,EPIC 4 — Correspondance,frontend,frontend-engineer,P0,M,JOB-076;JOB-038,done,S4,apps/web/app/opportunites/**;packages/couverture/**,REQ-003,no
JOB-091,Mesurer l approbation a une main sous dix secondes,EPIC 1 — Système d interface,frontend,qa-test-engineer,P0,S,JOB-048;JOB-084,backlog,S5,tests/e2e/**,REQ-010,no
JOB-092,Elargir la decouverte d employeurs et enregistrer les paliers C,EPIC 2 — Moteur de veille,backend,backend-engineer,P1,M,JOB-088,backlog,S5,apps/worker/src/sources/decouverte/**,REQ-003,no
JOB-093,Obtenir les cles des portails nationaux et brancher leurs connecteurs,EPIC 2 — Moteur de veille,backend,backend-engineer,P0,M,JOB-089,blocked,S5,apps/worker/src/sources/nationales/**,REQ-003,no
